title,link-title,link,译制名,og:image,image-link
ALDNOAH.ZERO,aldnoahzero,https://www.aldnoahzero.com/,ALDNOAH.ZERO,√,http://www.aldnoahzero.com/assets/img/common/ogp.png
Altered Carbon,,https://www.netflix.com/title/80097140,碳变,√,https://occ-0-2706-444.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABRzziizCwTo_KnmXXEvpdIhGoYq7tOYYn059Q5WOx5lWVBwjFpzXjcOHBXb9Kw_5Dj1HPv0uYA2vHZ6oOcIzshr5BEpm.jpg
BATMAN NINJA,batman-ninja,http://wwws.warnerbros.co.jp/batman-ninja/,忍者蝙蝠侠,√,http://wwws.warnerbros.co.jp/batman-ninja/core_sys/images/others/ogp.jpg
Brave New World,brave-new-world,https://www.peacocktv.com/brave-new-world,美丽新世界,√,https://www.peacocktv.com/dam/growth/assets/Originals/BraveNewWorld/bnw_og-min.png
BURN THE WITCH,burn-the-witch,https://burn-the-witch-anime.com/,龙与魔女,√,https://burn-the-witch-anime.com/AUxSNRBg/wp-content/themes/btw/assets/img/ogp.jpg
Captain Marvel,captainmarvel,https://www.marvel.com/captainmarvel/,惊奇队长,√,https://i.annihil.us/u/prod/marvel/movies/captain-marvel/2/assets/images/share.jpg
EL HOYO (The Platform),elhoyolapelicula,http://elhoyolapelicula.com/,饥饿站台,√,http://elhoyolapelicula.com/eh/img/posters/LP-Facebook-Cover2-Castellano.jpg
Freaky,freaky,https://www.freaky.movie/,砍人快乐,√,https://dx35vtwkllhj9.cloudfront.net/universalstudios/freaky/images/regions/us/200x202.png
GANTZ:O,gantzo,http://gantzo.jp/,杀戮都市：O,√,http://gantzo.jp/img/common/og.png
GREAT PRETENDER,greatpretender,http://www.greatpretender.jp/,大欺诈师,√,https://www.greatpretender.jp/assets/images/ogp_image.jpg
Guns Akimbo,guns-akimbo,https://www.madmanfilms.com.au/guns-akimbo/,腰间持枪,√,https://www.madmanfilms.com.au/wp-content/uploads/2020/01/GunsAkimbo_Facebook_OGImage.jpg
HELLO WORLD,hello-world,https://hello-world-movie.com/,你好世界,√,https://hello-world-movie.com/assets/img/ogp_img2.jpg
Japan Sinks: 2020,japansinks2020,https://japansinks2020.com,日本沉没,√,https://japansinks2020.com/assets/images/ogp3.png
Legion,legion,http://www.fxnetworks.com/shows/legion/episodes,大群,√,https://assets.fxnetworks.com/cms/prod/2019/05/02/web_detailhero_series_dsktp_legion_1280x600.jpg
Léon: The Professional,,,这个杀手不太冷,,
NEXT,next,https://www.fox.com/next/,智能逆袭,√,https://assets.foxdcg.com/dpp-uploaded/images/next/poster_d01522386b2942a4bdf4e9e4cd8220be.jpg
POKÉMON DETECTIVE PIKACHU,pokemon-detective-pikachu,http://www.detectivepikachumovie.net/,大侦探皮卡丘,,https://irs.www.warnerbros.com/hero-banner-v2-mobile-jpeg/banner/media/browser/pokemon_detective_pikachu_4320x1080.jpg
Possessor,possessor,https://possessormovie.com/,占有者,√,https://dx35vtwkllhj9.cloudfront.net/neonrated/possessor-uncut/images/regions/us/200x200.png
Prodigal Son,prodigal-son,https://www.fox.com/prodigal-son/,浪子神探,√,https://assets.foxdcg.com/dpp-uploaded/images/prodigal-son/prodigal-son_01_02/PS_L.jpg
Re:ゼロから始める異世界生活,re-zero,http://re-zero-anime.jp/,Re：从零开始的异世界生活,,http://re-zero-anime.jp/assets/slider/tv2-onair5.png
Rugal,,https://www.netflix.com/sg-zh/title/81243994,泪竭,,
Solar Opposites,solar-opposites,https://www.hulu.com/series/solar-opposites-f089664b-1a87-433b-86a5-24e7da5a246a,外星也难民,√,https://img4.hulu.com/user/v3/artwork/f089664b-1a87-433b-86a5-24e7da5a246a
Soul,soul,https://movies.disney.com/soul,心灵奇旅,√,https://lumiere-a.akamaihd.net/v1/images/p_disney_soul_20263_eac955fc.jpeg
Spider-Man: Into the Spider-Verse,spidermanintothespiderverse,https://www.sonypictures.com/movies/spidermanintothespiderverse,蜘蛛侠：平行宇宙,,https://www.sonypictures.com/sites/default/files/styles/max_2600x2600/public/banner-images/2019-06/spidermanintothespiderverse_banner_2572x1100_copyright.png
