title,in-zh-hans,link,link-title,og-link,image
８６―エイティシックス―,86 -不存在的战区,https://anime-86.com/,86.00 ,https://anime-86.com/og.png,86
Army of the Dead,不死人军团,https://www.netflix.com/title/81046394,,https://occ-0-116-114.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABa19vpnkPWE4yYlNJohNmMzDraLNCLhPux2dLB2iKmiykqObRSRldbfP0iTg8dP8RcDrxFAkToJ9u9IjOLzLW9cbbjbT.jpg,army-of-the-dead
Army of Thieves,神偷军团,https://www.netflix.com/title/81185548,,https://occ-0-116-114.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABUVD1qNIPTlTsTttFrkesZ7Q94S6tSR_eIJcuJEIegDSZT3CZLYqaxPHOCcY1cApm9R_en840W5-TRiYm28eQ-PqFTlA.jpg,army-of-thieves
Black Widow,黑寡妇,https://www.marvel.com/movies/black-widow,black-widow,https://terrigen-cdn-dev.marvel.com/content/prod/1x/blackwidow_lob_mas_mob_17.jpg,black-widow
Blade,刀锋战士,https://www.warnerbros.com/movies/blade,blade,,blade
Calls,骇人来电,https://tv.apple.com/us/show/calls/umc.cmc.7hp8sparfsxo0l4f712f3mf2r,calls,https://is4-ssl.mzstatic.com/image/thumb/h8oGFN-jdPeHY8j3EM_WnQ/1200x675.jpg,calls
Clarice,克拉丽斯,https://www.cbs.com/shows/clarice/,clarice,https://wwwimage-tve.cbsstatic.com/base/files/seo/clar_social_1200x627.jpg,clarice
Cruella,黑白魔女库伊拉,https://movies.disney.com/cruella,cruella,https://lumiere-a.akamaihd.net/v1/images/p_cruella_21672_ba40c762.jpeg,cruella
Cube,心慌方,,,,cube
ESCAPE ROOM,密室逃生,https://www.sonypictures.com/movies/escaperoomtournamentofchampions,escaperoom,,escape-room
Finch,芬奇,https://tv.apple.com/us/movie/finch/umc.cmc.47dkj9f2ho3h8dwxixflz65q5,finch,https://is3-ssl.mzstatic.com/image/thumb/xwiVfxV1l5Tfy6-1uQ25_Q/1200x675.jpg,finch
FLCL,特别的她,https://www.adultswim.com/videos/flcl,flcl,https://i.cdn.turner.com/adultswim/big/img/2018/08/06/flclaltSearch.jpg,flcl
Foundation,基地,https://tv.apple.com/us/show/foundation/umc.cmc.5983fipzqbicvrve6jdfep4x3,foundation,https://is2-ssl.mzstatic.com/image/thumb/qYEYYvFXN2O4zEuCcBSbjw/1200x675.jpg,foundation
Free Guy,失控玩家,https://www.20thcenturystudios.com/movies/free-guy,free-guy,https://lumiere-a.akamaihd.net/v1/images/p_20cs_freeguy_homeent_21930_49e74453.jpeg,free-guy
Godzilla vs. Kong,哥斯拉大战金刚,https://www.godzillavskong.net/,godzillavskong,https://www.godzillavskong.net/images/share.jpg,godzilla-vs-kong
Good Will Hunting,心灵捕手,https://www.miramax.com/movie/good-will-hunting/,good-will-hunting,https://prod.miramax.digital/media/assets/726_GoodWillHunting_Catalog_Poster-BB_v2_Approved.png,good-will-hunting
INCEPTION,盗梦空间,https://www.warnerbros.com/movies/inception,inception,,inception
Innocent,无罪之最,https://www.netflix.com/title/81036936,,https://occ-0-116-114.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABTPh9133CVfQYvfNjQnOGb0gC14eybyk11NHKHBhKehDSuCh1KMmT51CgY0AlqB4K56PU7liG7Oqh9JI5I8ROChho6GE.jpg,innocent
Inside No. 9,9号秘事,https://www.bbc.co.uk/programmes/b03tvq6m,,https://ichef.bbci.co.uk/images/ic/1200x675/p07jlzqq.jpg,inside-no-9
Interstellar,星际穿越,,,,interstellar
Justice League,正义联盟,https://www.warnerbros.com/movies/justice-league,justice-league,,justice-league
Kill Command,杀戮指令,,,,kill-command
Last Night In Soho,Soho区惊魂夜,https://www.focusfeatures.com/last-night-in-soho/,last-night-in-soho,https://dx35vtwkllhj9.cloudfront.net/focusfeatures/last-night-in-soho/images/regions/us/share.png,last-night-in-soho
Loki,洛基,https://www.marvel.com/tv-shows/loki/1,loki,https://terrigen-cdn-dev.marvel.com/content/prod/1x/loki_lob_crd_04.jpg,loki
"Love, Death & Robots",爱，死亡机器人,https://www.netflix.com/title/80174608,,https://occ-0-116-114.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABVM8-O1cJ0IlMWFceHxbDfPXIU4ZkPY6yjvTApo2PYUawK2eMdHzx4Qli6b3QoHQcaS71D14PD5veWjYJ-lRMezHR3r6.jpg,love-death-and-robots
Malignant,致命感应,https://www.malignantmovie.net/,malignant,https://www.malignantmovie.net/images/share.jpg,malignant
Night in Paradise,乐园之夜,https://www.netflix.com/title/81342504,,https://occ-0-116-114.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABSIszVckpcZPsJdSuv-G9MCDPdKI93lJGhI0E56v2pu--TAXOPlJKgepBaq3PPeYp7_MDOYdv6AvyJJ4WLVPzK-lNprj.jpg,night-in-paradise
No Sudden Move,切勿擅动,https://www.hbomax.com/series/urn:hbo:feature:GYMzEGg049ruJvQEAAAAW,,,no-sudden-move
No Time To Die,007：无暇赴死,https://www.007.com/no-time-to-die/,no-time-to-die,https://www.007.com/wp-content/uploads/2020/09/maxresdefault_en.jpg,no-time-to-die
NO.6,未来都市NO.6,https://www.no-6.jp/,no-6,https://www.no-6.jp/assets/img/top/kv.jpg,no-6
Nobody,小人物,https://www.uphe.com/movies/nobody,nobody,,nobody
Only Murders in the Building,公寓大楼里的谋杀案,https://www.hulu.com/series/only-murders-in-the-building-ef31c7e1-cd0f-4e07-848d-1cbfedb50ddf,only-murders-in-the-building,https://img2.hulu.com/user/v3/artwork/ef31c7e1-cd0f-4e07-848d-1cbfedb50ddf,only-murders-in-the-building
Pacific Rim: The Black,环太平洋：黑色禁区,https://www.netflix.com/Title/81002003,,,pacific-rim-the-black
Persian Lessons,波斯语课,,,,persian-lessons
Pig,猪,https://neonrated.com/films/pig,pig ,https://global-uploads.webflow.com/5e95052cfabd4e155de8a3cf/60ca7daff9582c7398c34fdd_P_00092a.jpg,pig
Prodigal Son,浪子神探,https://www.fox.com/prodigal-son/,prodigal-son,https://assets.foxdcg.com/dpp-uploaded/images/prodigal-son/prodigal-son_01_02/PS_L.jpg,prodigal-son
PUI PUI モルカー,天竺鼠车车,https://molcar-anime.com/,molcar,https://molcar-anime.com/wp-content/themes/molcar-anime/images/ogp.jpg,molcar
